Country Name,Country Code,Series Name,Series Code,2010 [YR2010],2011 [YR2011],2012 [YR2012],2013 [YR2013],2014 [YR2014],2015 [YR2015],2016 [YR2016],2017 [YR2017],2018 [YR2018],2019 [YR2019],2020 [YR2020],2021 [YR2021],2022 [YR2022],2023 [YR2023],2024 [YR2024]
Gabon,GAB,"School enrollment, secondary (% gross)",SE.SEC.ENRR,..,..,..,..,..,..,..,..,..,70.2639966402203,..,..,..,..,..
Gabon,GAB,Urban population (% of total population),SP.URB.TOTL.IN.ZS,85.533,86.092,86.634,87.156,87.651,88.118,88.559,88.976,89.37,89.741,90.092,90.423,90.735,91.029,91.307
Gabon,GAB,Trade (% of GDP),NE.TRD.GNFS.ZS,89.1576627248353,90.4983773331323,92.3428089420545,90.6350361478645,73.5203290162438,73.9497814588281,70.1333810645308,75.0687404456638,77.0365976973024,73.4280894486644,70.1140546463796,85.3483122054787,92.0630888496921,90.9932336284568,94.4802538871274
Gabon,GAB,Gross fixed capital formation (% of GDP),NE.GDI.FTOT.ZS,31.4071853243829,28.6802170005618,27.737282233055,29.9453796532587,35.6951364101419,29.2309562924902,26.9822610431075,21.2964674161829,19.2582324284114,21.8987965722319,19.8634691073054,17.4565506185946,16.0269404879625,17.5342876977906,18.116326577086
Gabon,GAB,"Unemployment, total (% of total labor force) (modeled ILO estimate)",SL.UEM.TOTL.ZS,20.39,19.941,19.728,19.794,19.916,19.978,20.134,20.303,20.439,20.358,21.27,21.218,20.399,20.278,20.061
"Gambia, The",GMB,GDP growth (annual %),NY.GDP.MKTP.KD.ZG,5.90833580968288,-8.13044422315659,5.24156924630741,2.872768790327,-1.40738249510954,4.0580738039996,1.94335965478776,4.8226112492757,7.23489033258579,6.22205315994859,0.591487287873974,5.25596878816744,5.49299825508946,4.79750894530943,5.74671765535597
"Gambia, The",GMB,GDP per capita (current US$),NY.GDP.PCAP.CD,801.033372714536,710.608411468152,692.579361628102,653.862713272743,568.00453558864,619.536364296461,650.056501323611,642.522641296331,696.219806960615,738.186751987483,720.335143352133,781.890925169531,836.244875582631,888.157407441902,908.525674150965
"Gambia, The",GMB,"Population, total",SP.POP.TOTL,1926630,1983784,2043094,2103820,2164528,2224529,2283769,2342189,2399632,2456844,2515733,2576010,2636470,2697845,2759988
"Gambia, The",GMB,"Government expenditure on education, total (% of GDP)",SE.XPD.TOTL.GD.ZS,2.56322002410889,2.50116991996765,2.63756990432739,1.81839001178741,2.23094010353088,2.16002988815308,2.0244300365448,2.45919445096525,2.36543989181519,2.80809703332656,2.88734569797808,3.04477694635226,2.89168744551701,2.80838156544977,..
"Gambia, The",GMB,Current health expenditure (% of GDP),SH.XPD.CHEX.GD.ZS,4.11944056,4.36967373,4.26872253,3.91374874,3.05234575,3.1761291,3.19523716,3.35449266,3.23713565,3.14534926,3.72824264,3.19251013,3.41435836,..,..
